"","Additional Resources","All taxonomy terms","Announcement","Audience","Author","Author / Institution","Body","Body","Body","byline","Climate Topics","Date of Issue","Description","Duration ","Expert Personal Site","Expert/s","Explore/Interactive Image","Header Title","Key Personnel","Learn More Link","Link","Organization Name","Other Expert","Polar Topics","Post date","Primary Image","Project Image","Project Landing Page Image","Project Lead","Project URL","Resource Link","Resource Type","Tagline","Tags","Title","Type"
"Before-and-After Photos of the Changing Environment","","High School, Online Interactive Tool, Impacts of Climate Change, General, Glaciers/Land Ice, Images, Website, Snow","","High School, General","","National Geographic","Side-by-side comparisons reveal just how much glaciers, lakes, and snowpacks have been altered by nature and humans. From the ice sheets of Greenland to the deserts of Arizona, many of the world’s landscapes have been dramatically transformed as their climate grows warmer and drier. At the same time, water use and other human activities have altered many landscapes. NASA has accumulated striking photos that show just how much our surroundings have changed. Slide across each image to see before and after pictures.","Side-by-side comparisons reveal just how much glaciers, lakes, and snowpacks have been altered by nature and humans. From the ice sheets of Greenland to the deserts of Arizona, many of the world’s landscapes have been dramatically transformed as their climate grows warmer and drier. At the same time, water use and other human activities have altered many landscapes. NASA has accumulated striking photos that show just how much our surroundings have changed. Slide across each image to see before and after pictures.","Side-by-side comparisons reveal just how much glaciers, lakes, and snowpacks have been altered by nature and humans. From the ice sheets of Greenland to the deserts of Arizona, many of the world’s landscapes have been dramatically transformed as their climate grows warmer and drier. At the same time, water use and other human activities have altered many landscapes. NASA has accumulated striking photos that show just how much our surroundings have changed. Slide across each image to see before and after pictures.","","Impacts of Climate Change","","","","","","","","","","view","","","Glaciers/Land Ice, Snow","April 25, 2016 - 12:47pm","","","","","","http://news.nationalgeographic.com/2015/12/151229-before-after-earth-features/","Online Interactive Tool, Images, Website","","","Before-and-After Photos of the Changing Environment","Resource"
"Images of Change","","High School, Antarctic, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Glaciers/Land Ice, Images","","High School, General","","NASA","Natural disasters, a warming climate, and human activities are rapidly altering the face of our planet. NASA’s Images of Change app lets you take a close-up view of many of these changes in an exciting and hands-on format. The app presents a curated collection of the best image pairs from NASA’s Global Climate Change website. These image pairs show areas that have been subject to natural disasters or seen significant change over time. Compare Alaska’s Muir Glacier in 1941 to the glacier as it looked in 2004. Take a before-and-after look at flooding in the Missouri River or at wildfires in Colorado. See the expansion of agriculture in Saudi Arabia as viewed from satellites. All photo pairs can be viewed individually, side by side, or overlaid with a slider bar for easy comparisons. Each image pair contains background information and a map showing its location. The images presented in Images of Change are meticulously selected and constantly updated to give you an informative, compelling, and up-to-date visual experience.","Natural disasters, a warming climate, and human activities are rapidly altering the face of our planet. NASA’s Images of Change app lets you take a close-up view of many of these changes in an exciting and hands-on format. The app presents a curated collection of the best image pairs from NASA’s Global Climate Change website. These image pairs show areas that have been subject to natural disasters or seen significant change over time. Compare Alaska’s Muir Glacier in 1941 to the glacier as it looked in 2004. Take a before-and-after look at flooding in the Missouri River or at wildfires in Colorado. See the expansion of agriculture in Saudi Arabia as viewed from satellites. All photo pairs can be viewed individually, side by side, or overlaid with a slider bar for easy comparisons. Each image pair contains background information and a map showing its location. The images presented in Images of Change are meticulously selected and constantly updated to give you an informative, compelling, and up-to-date visual experience.","Natural disasters, a warming climate, and human activities are rapidly altering the face of our planet. NASA’s Images of Change app lets you take a close-up view of many of these changes in an exciting and hands-on format. The app presents a curated collection of the best image pairs from NASA’s Global Climate Change website. These image pairs show areas that have been subject to natural disasters or seen significant change over time. Compare Alaska’s Muir Glacier in 1941 to the glacier as it looked in 2004. Take a before-and-after look at flooding in the Missouri River or at wildfires in Colorado. See the expansion of agriculture in Saudi Arabia as viewed from satellites. All photo pairs can be viewed individually, side by side, or overlaid with a slider bar for easy comparisons. Each image pair contains background information and a map showing its location. The images presented in Images of Change are meticulously selected and constantly updated to give you an informative, compelling, and up-to-date visual experience.","","Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice","April 25, 2016 - 12:45pm","","","","","","https://itunes.apple.com/en/app/images-of-change/id710564941?mt=8","Online Interactive Tool, Images","","","Images of Change","Resource"
"Chasing Ice","","Online Interactive Tool, Arctic, Impacts of Climate Change, General, Glaciers/Land Ice, Images","","General","","James Balog and Ben Cunningham","Chasing Ice brings you the stunning photography and time-lapse video of James Balog, world-famous nature photographer. As the official app of the award-winning documentary film, Chasing Ice takes you on an audio-visual journey through the stunning arctic findings of Balog's Extreme Ice Survey.  The Extreme Ice Survey has deployed revolutionary time-lapse cameras to capture a multi-year record of the world's changing glaciers. Its hauntingly beautiful videos compress years into seconds and capture ancient mountains of ice in motion as they disappear at a breathtaking rate. Traveling with a team of young adventurers across the brutal Arctic, Balog has risked his career and his well-being in pursuit of the biggest story facing humanity.Use Chasing Ice to fly from glacier to glacier, to see through the lens of Balog's camera, and to touch our planet as it changes before our eyes.","Chasing Ice brings you the stunning photography and time-lapse video of James Balog, world-famous nature photographer. As the official app of the award-winning documentary film, Chasing Ice takes you on an audio-visual journey through the stunning arctic findings of Balog's Extreme Ice Survey.  The Extreme Ice Survey has deployed revolutionary time-lapse cameras to capture a multi-year record of the world's changing glaciers. Its hauntingly beautiful videos compress years into seconds and capture ancient mountains of ice in motion as they disappear at a breathtaking rate. Traveling with a team of young adventurers across the brutal Arctic, Balog has risked his career and his well-being in pursuit of the biggest story facing humanity.Use Chasing Ice to fly from glacier to glacier, to see through the lens of Balog's camera, and to touch our planet as it changes before our eyes.","Chasing Ice brings you the stunning photography and time-lapse video of James Balog, world-famous nature photographer. As the official app of the award-winning documentary film, Chasing Ice takes you on an audio-visual journey through the stunning arctic findings of Balog's Extreme Ice Survey.  The Extreme Ice Survey has deployed revolutionary time-lapse cameras to capture a multi-year record of the world's changing glaciers. Its hauntingly beautiful videos compress years into seconds and capture ancient mountains of ice in motion as they disappear at a breathtaking rate. Traveling with a team of young adventurers across the brutal Arctic, Balog has risked his career and his well-being in pursuit of the biggest story facing humanity.Use Chasing Ice to fly from glacier to glacier, to see through the lens of Balog's camera, and to touch our planet as it changes before our eyes.","","Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Glaciers/Land Ice","April 25, 2016 - 12:44pm","","","","","","https://itunes.apple.com/au/app/chasing-ice/id579276308?mt=8","Online Interactive Tool, Images","","","Chasing Ice","Resource"
"Learn More About Climate Change","","High School, Climate System, College, Antarctic, Causes of Climate Change, Graduate/Professional, Online Interactive Tool, Arctic, Impacts of Climate Change, Research, General, Mitigation, Video/Visualization, Adaptation, Family, Curriculum, Website, Marine Ecosystem, Publication, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","","High School, College, Graduate/Professional, Research, General, Family","","Office of Outreach and Engagement: University of Colorado, Boulder","LMAC translates climate change information into resources and tools for teachers, policy makers, and citizens. Watch videos, schedule a guest speaker, find standards-based lessons and interactive resources - all designed to increase your knowledge and understanding about this critical issue. Includes an interactive map that illustrates emissions by ZIP code and a carbon footprint calculator.","LMAC translates climate change information into resources and tools for teachers, policy makers, and citizens. Watch videos, schedule a guest speaker, find standards-based lessons and interactive resources - all designed to increase your knowledge and understanding about this critical issue. Includes an interactive map that illustrates emissions by ZIP code and a carbon footprint calculator.","LMAC translates climate change information into resources and tools for teachers, policy makers, and citizens. Watch videos, schedule a guest speaker, find standards-based lessons and interactive resources - all designed to increase your knowledge and understanding about this critical issue. Includes an interactive map that illustrates emissions by ZIP code and a carbon footprint calculator.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Antarctic, Arctic, Marine Ecosystem, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","April 25, 2016 - 12:40pm","","","","","","http://learnmoreaboutclimate.colorado.edu/","Online Interactive Tool, Video/Visualization, Curriculum, Website, Publication","","","Learn More About Climate Change","Resource"
"Climate Change (Video)","","High School, Climate System, College, Antarctic, Causes of Climate Change, Arctic, Audio, Impacts of Climate Change, General, Mitigation, Video/Visualization, Adaptation, Glaciers/Land Ice, Paleoclimate, Sea Ice, Sea Level Rise, Temperature","","High School, College, General","","University of California","This is a collection of videos from the University of California. The videos come from a variety of talks that have taken place at the university and address the many facets of climate change from different disciplinary perspectives. Audio-only versions are also available.","This is a collection of videos from the University of California. The videos come from a variety of talks that have taken place at the university and address the many facets of climate change from different disciplinary perspectives. Audio-only versions are also available.","This is a collection of videos from the University of California. The videos come from a variety of talks that have taken place at the university and address the many facets of climate change from different disciplinary perspectives. Audio-only versions are also available.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Paleoclimate, Sea Ice, Sea Level Rise, Temperature","April 25, 2016 - 12:38pm","","","","","","https://itunes.apple.com/us/itunes-u/climate-change-video/id382085466?mt=10","Audio, Video/Visualization","","","Climate Change (Video)","Resource"
"Climate Change","","Climate System, College, Antarctic, Causes of Climate Change, Arctic, Audio, Impacts of Climate Change, General, Mitigation, Video/Visualization, Adaptation, Glaciers/Land Ice, Sea Level Rise","","College, General","","Imperial College London","Imperial College London has produced a series of podcasts on a wide range of topics relating to climate change. Most feature faculty or speakers from Imperial College.","Imperial College London has produced a series of podcasts on a wide range of topics relating to climate change. Most feature faculty or speakers from Imperial College.","Imperial College London has produced a series of podcasts on a wide range of topics relating to climate change. Most feature faculty or speakers from Imperial College.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Sea Level Rise","April 25, 2016 - 12:35pm","","","","","","https://itunes.apple.com/us/itunes-u/climate-change/id415328675?mt=10","Audio, Video/Visualization","","","Climate Change","Resource"
"Inspiring Climate Education Excellence","","Climate System, College, Antarctic, Causes of Climate Change, Graduate/Professional, Arctic, Audio, Impacts of Climate Change, General, Mitigation, Adaptation, Glaciers/Land Ice, Paleoclimate, Sea Ice, Sea Level Rise, Temperature","","College, Graduate/Professional, General","","NSDL/CIRES Education Outreach","Inspiring Climate Education Excellence is a collaborative project to increase teachers' knowledge about climate science concepts and best practices for teaching climate change in the classroom. Lead by the Cooperative Institute for Research in Environmental Sciences, the National Science Digital Library, and the GLOBE Project with funding from NASA, this podcast series explores a variety of issues and best practices in climate education. ","Inspiring Climate Education Excellence is a collaborative project to increase teachers' knowledge about climate science concepts and best practices for teaching climate change in the classroom. Lead by the Cooperative Institute for Research in Environmental Sciences, the National Science Digital Library, and the GLOBE Project with funding from NASA, this podcast series explores a variety of issues and best practices in climate education. ","Inspiring Climate Education Excellence is a collaborative project to increase teachers' knowledge about climate science concepts and best practices for teaching climate change in the classroom. Lead by the Cooperative Institute for Research in Environmental Sciences, the National Science Digital Library, and the GLOBE Project with funding from NASA, this podcast series explores a variety of issues and best practices in climate education. ","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Paleoclimate, Sea Ice, Sea Level Rise, Temperature","April 25, 2016 - 12:32pm","","","","","","https://itunes.apple.com/us/itunes-u/icee-inspiring-climate-education/id39802618...","Audio","","","Inspiring Climate Education Excellence","Resource"
"Life on Thin Ice","","High School, Arctic, Impacts of Climate Change, General, Family, Glaciers/Land Ice, Images, Indigenous Perspectives, Website, Marine Ecosystem, Sea Ice, Terrestrial Ecosystem","","High School, General, Family","","Jenny E. Ross","Life On Thin Ice leverages the power of photography combined with science to communicate accurately and effectively about climate change in the Arctic, increase public interest in the issues and understanding of the problems, and motive informed action to address the gorwing climate crisis. It seeks to document the changes, educate people and policy makers about the issues and galvanize effective action. ","Life On Thin Ice leverages the power of photography combined with science to communicate accurately and effectively about climate change in the Arctic, increase public interest in the issues and understanding of the problems, and motive informed action to address the gorwing climate crisis. It seeks to document the changes, educate people and policy makers about the issues and galvanize effective action. ","Life On Thin Ice leverages the power of photography combined with science to communicate accurately and effectively about climate change in the Arctic, increase public interest in the issues and understanding of the problems, and motive informed action to address the gorwing climate crisis. It seeks to document the changes, educate people and policy makers about the issues and galvanize effective action. ","","Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Glaciers/Land Ice, Indigenous Perspectives, Marine Ecosystem, Sea Ice, Terrestrial Ecosystem","April 4, 2016 - 1:35pm","","","","","","http://www.lifeonthinice.org/#s=0&mi=1&pt=0&pi=1&p=-1&a=0&at=0","Images, Website","","","Life on Thin Ice","Resource"
"Climate Change in Greenland","","High School, Arctic, Impacts of Climate Change, Community, General, Video/Visualization, Adaptation, Glaciers/Land Ice, Indigenous Perspectives, Marine Ecosystem, Sea Ice, Terrestrial Ecosystem, Temperature","","High School, General","","Arirang TV","Greenland's natural environment and traditional way of life are being transformed by climate change. This documentary -- produced by Arirang TV for world-wide broadcast in association with the Copenhagen Climate Summit -- takes you to northwest Greenland, and to Siorapaluk, the northernmost settlement on Earth. Featuring the images and insights of photographer Jenny E. Ross, the program shows you the majesty of the Arctic, the drama of melting glaciers and disappearing sea ice, and the poignant plight of the Inuit people as they struggle to preserve their traditional lifestyle in the face of climate change.","Greenland's natural environment and traditional way of life are being transformed by climate change. This documentary -- produced by Arirang TV for world-wide broadcast in association with the Copenhagen Climate Summit -- takes you to northwest Greenland, and to Siorapaluk, the northernmost settlement on Earth. Featuring the images and insights of photographer Jenny E. Ross, the program shows you the majesty of the Arctic, the drama of melting glaciers and disappearing sea ice, and the poignant plight of the Inuit people as they struggle to preserve their traditional lifestyle in the face of climate change.","Greenland's natural environment and traditional way of life are being transformed by climate change. This documentary -- produced by Arirang TV for world-wide broadcast in association with the Copenhagen Climate Summit -- takes you to northwest Greenland, and to Siorapaluk, the northernmost settlement on Earth. Featuring the images and insights of photographer Jenny E. Ross, the program shows you the majesty of the Arctic, the drama of melting glaciers and disappearing sea ice, and the poignant plight of the Inuit people as they struggle to preserve their traditional lifestyle in the face of climate change.","","Impacts of Climate Change, Adaptation","","","","","","","","","","view","","","Arctic, Community, Glaciers/Land Ice, Indigenous Perspectives, Marine Ecosystem, Sea Ice, Terrestrial Ecosystem, Temperature","April 4, 2016 - 1:29pm","","","","","","https://vimeo.com/84574762","Video/Visualization","","","Climate Change in Greenland","Resource"
"Global Warming | Climate change documentary | Climate Change: The Arctic as an Emerging Market","","High School, College, Causes of Climate Change, Graduate/Professional, Arctic, Impacts of Climate Change, Community, General, Video/Visualization, Marine Ecosystem, Sea Ice, Terrestrial Ecosystem, Temperature","","High School, College, Graduate/Professional, General","","AAAS","Many nations have been looking to the Arctic with renewed interest as the region has undergone an unprecedented rate of change due to climate change. Recent observations, however, have shown that the summer Arctic ice cover is shrinking at an even greater pace than originally estimated, creating a greater sense of urgency over issues such as access to shipping lanes, oil and gas exploration, impact to indigenous populations, and priorities for scientific investigation. In this video recording, panelists Heather Conley of the Center for Strategic and International Studies, Jed Hamilton of ExxonMobil, and Julienne Stroeve of the National Snow & Ice Data Center discuss projections for the Arctic region. Moderated by NPR's Richard Harris, this installment in the Global Challenges Discussion Series was held at AAAS Headquarters in downtown Washington, DC.","Many nations have been looking to the Arctic with renewed interest as the region has undergone an unprecedented rate of change due to climate change. Recent observations, however, have shown that the summer Arctic ice cover is shrinking at an even greater pace than originally estimated, creating a greater sense of urgency over issues such as access to shipping lanes, oil and gas exploration, impact to indigenous populations, and priorities for scientific investigation. In this video recording, panelists Heather Conley of the Center for Strategic and International Studies, Jed Hamilton of ExxonMobil, and Julienne Stroeve of the National Snow & Ice Data Center discuss projections for the Arctic region. Moderated by NPR's Richard Harris, this installment in the Global Challenges Discussion Series was held at AAAS Headquarters in downtown Washington, DC.","Many nations have been looking to the Arctic with renewed interest as the region has undergone an unprecedented rate of change due to climate change. Recent observations, however, have shown that the summer Arctic ice cover is shrinking at an even greater pace than originally estimated, creating a greater sense of urgency over issues such as access to shipping lanes, oil and gas exploration, impact to indigenous populations, and priorities for scientific investigation. In this video recording, panelists Heather Conley of the Center for Strategic and International Studies, Jed Hamilton of ExxonMobil, and Julienne Stroeve of the National Snow & Ice Data Center discuss projections for the Arctic region. Moderated by NPR's Richard Harris, this installment in the Global Challenges Discussion Series was held at AAAS Headquarters in downtown Washington, DC.","","Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Community, Marine Ecosystem, Sea Ice, Terrestrial Ecosystem, Temperature","April 4, 2016 - 1:27pm","","","","","","https://www.youtube.com/watch?v=pKgPHslNz2U","Video/Visualization","","","Global Warming | Climate change documentary | Climate Change: The Arctic as an Emerging Market","Resource"
